"victim","sq","victim_age","victim_race","victim_gender","URL.of.image.of.victim","doi.x","Agency.responsible.for.death","Cause.of.death","A.brief.description.of.the.circumstances.surrounding.the.death","Official.disposition.of.death..justified.or.other.","Criminal.Charges.","Symptoms.of.mental.illness.","Armed.Unarmed.Status","Alleged.Weapon..Source..WaPo.and.Review.of.Cases.Not.Included.in.WaPo.Database.","Alleged.Threat.Level..Source..WaPo.","Fleeing..Source..WaPo.","Body.Camera..Source..WaPo.","Zip","City_y","State_y","Latitude","Longitude","Link.to.news.article.or.photo.of.official.document"
"Bruce Lee Steward",7.72885582385254,"34","White","Male","http://d3trabu2dfbdfb.cloudfront.net/4/0/4080219_o.jpeg","2015-02-15","Clackamas County Sheriff's Office","Gunshot","Steward called 911 just after 10:30 Sunday morning to report that someone had been stabbed and the suspect at the scene was armed with a gun, said Sgt. Nathan Thompson.Deputies responding to the area, in the 29000 block South Wall Street, did not find a stabbing victim. But they encountered Steward and he was armed with a hatchet.Thompson said Steward refused the deputies' commands to drop the hatchet and he charged at them.","Unreported","No known charges","Yes","Allegedly Armed","hatchet","other","Not fleeing","No",97017,"Colton","OR",45.181819,-122.39802,"http://www.kgw.com/story/news/2015/02/15/colton-officer-involved-shooting/23459905/"
"Bruce Robinson",7.84267147497946,"47","Unknown Race","Male","","2014-05-16","Jefferson Parish Sheriff's Office","Gunshot","After Robinson's brother called police to report that his brother was acting suicidal, deputies arrived to find Robinson in a wheelchair holding a shotgun. The 47-year-old was fatally shot after refusing to drop the weapon and raising it at deputies.","Pending investigation/No Known Charges","No known charges","Unknown","Allegedly Armed","gun","","","",70003,"Metairie","LA",29.997168,-90.2138,"http://www.nola.com/crime/index.ssf/2014/05/jpso_deputies_shoot_kill_wheel.html"
"Bruce Smith",45.4684644239372,"25","White","Male","","2018-09-16","Manitowoc Police Department","Gunshot","An officer and Manitowoc Fire personnel responded for an activated fire alarm. While reportedly investigating the complaint, the officer became involved in a confrontation with a man. Police said the man was armed with a blunt instrument. During the confrontation with the man, Officer Fielder Clark shot and killed the man.","Pending investigation/No Known Charges","No known charges","No","Unclear","unknown weapon","other","Not fleeing","No",54220,"Manitowoc","WI",44.096194,-87.68919,"https://www.wbay.com/content/news/Man-dead-after-officer-involved-shooting-493412811.html"
"Bryan Carreno",14.6932167902584,"26","Hispanic","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Bryan-Carreno.png","2017-02-12","Santa Barbara County Sheriff's Office","Gunshot","According to the Santa Barbara County Sheriff's Office, deputies were called to a home in North La Cumbre Road by a family member ""who reported that Carreno was inside the garage and was hallucinating, acting out and possibly under the influence of drugs."" Deputies spent several hours tracking the man who was reportedly jumping fences and going in houses and at one point was on the roof of a home. Deputies found Bryan Carreno inside a residence where he was killed by deputies when he charged at them with a knife.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","knife","other","Foot","No",93110,"Santa Barbara","CA",34.439579,-119.76788,"http://www.keyt.com/news/man-killed-by-sheriffs-deputies-in-santa-barbara-identified/331171899"
"Bryan Cruz-Soto",75.2255664077674,"28","Hispanic","Male","","2020-12-28","Brockton Police Department","Gunshot","Around 3 p.m., Brockton police were called to a home for a domestic violence situation. Upon arrival, two officers encountered a man outside the home armed with a knife, and they shot and killed him.","Pending investigation","No known charges","No","Allegedly Armed","knife","other","Not fleeing","No",2301,"Brockton","MA",42.0794,-71.03441,"https://www.boston25news.com/news/local/brockton-police-armed-man-shot-by-police-during-response-domestic-violence-call/WW27EVGVTVDAXN3THBGWRTB5BA/"
"Bryan Pena",138.507773579912,"28","Unknown Race","Male","","2020-03-21","Unified Police Department of Greater Salt Lake","Gunshot","Police responded around 3:20 a.m. on a report of shots fired. A witness to that shooting reportedly said that a dark car fled. A short time later, officers said they spotted Pena's car, a black Cadillac, and they attempted a traffic stop, but he sped away. Pena drove onto the median then ran from his car and hopped a fence. The officers pursued on foot, pushed down a fence to get to the man and shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","unknown weapon","other","Other","No",NA,"","",40.657,-111.9493,"https://www.abc4.com/news/top-stories/taylorsville-officer-involved-shooting/"
"Bryan Selmer",5.37989735354046,"38","White","Male","","2020-10-19","Frederick County Sheriff's Department, Pennsylvania State Police","Gunshot","Selmer and another man, David Leatherman, led police on a chase that began in Pennsylvania before entering Frederick County, where they crashed. Leatherman was wanted for attempted murder. After crashing, they fled on foot, and Leatherman was eventually caught and taken into custody. Selmer continued running to a gas station, where deputies allege he took a ""shooting stance."" The deputies fired at Selmer, and he was later pronounced dead.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","Other","No",21727,"Emmitsburg","MD",39.695328,-77.32721,"https://baltimore.cbslocal.com/2020/10/20/emmitsburg-police-shooting-chase-man-killed-identified-as-bryan-selmer-latest/"
"Bryant Duncan",60.7167078070844,"23","White","Male","http://www.killedbypolice.net/victims/151148.jpg","2015-12-16","Ventura County Sheriff's Office","Gunshot","Duncan reportedly called 911 and told the dispatcher a crime was going to happen and he wanted police to kill him. Duncan was shot when he approached a responding deputy with a knife, police said.","Pending investigation","No known charges","Yes","Allegedly Armed","knife","attack","Not fleeing","No",93010,"Camarillo","CA",34.231754,-119.05258,"http://www.vcstar.com/news/local/camarillo/officer-involved-shooting-reported-in-camarillo-27097c6f-4730-3e2a-e053-0100007f1eba-362679981.html"
"Bryce Dion",14.8531682953952,"38","White","Male","http://bloximages.newyork1.vip.townnews.com/omaha.com/content/tncms/assets/v3/editorial/1/58/15869db2-2e2d-11e4-90bd-0017a43b2370/53fe46dd3a484.image.jpg","2014-08-26","Omaha Police Department","Gunshot","Bryce was a crew member of the ""Cops"" TV show filming police response to an armed robbery at a fast food restaurant. Bryce was killed by crossfire from police shooting at the robbery suspect.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","","","",68131,"Omaha","NE",41.264418,-95.96383,"http://www.nbcnews.com/news/crime-courts/cops-crew-member-bryce-dion-killed-omaha-police-shootout-n190301"
"Burgon Sealy Jr.",7.28756064030972,"26","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Burgon-Sealy-Jr..jpg","2017-04-27","Federal Bureau of Investigation, New Castle County Sheriff's Office, Wilmington Police Department, Delaware State Police","Gunshot","Twenty-one hours after barricading himself inside his family's home, a man who allegedly had killed a Delaware state trooper emerged carrying a weapon when police used an armored vehicle to rip siding off the structure. Burgon Sealy Jr. was shot and killed.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",19701,"Bear","DE",39.598203,-75.69945,"http://www.delawareonline.com/story/news/crime/2017/04/27/delaware-state-police-shooter-remains-barricaded/100966602/"
"Byron ""Big B"" Kelley",23.9263449503974,"32","Unknown Race","Male","","2013-06-04","Memphis Police Department","Gunshot","Shot to death in Olive Branch, Miss., by Memphis police and DEA agents.","Unknown","No known charges","No","Allegedly Armed","gun","","","",38120,"Memphis","TN",35.124818,-89.86562,"http://www.commercialappeal.com/news/2013/jun/04/drug-suspect-killed-in-shootout-with-officers-in/"
"Byron Williams",19.2516132145969,"50","Black","Male","https://fatalencounters.org/wp-content/uploads/2019/09/ByronWilliams.jpg","2019-09-05","Las Vegas Metropolitan Police Department","Physical Restraint","Byron Williams was reportedly stopped for riding a bicycle without safety lights. He fled on foot, and police restrained him with at least one officer putting weight on his back while he complained about not being able to breathe, killing him.","Pending investigation/No Known Charges","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","other","","",89106,"Las Vegas","NV",36.184219,-115.16292,"https://www.forcedtrajectory.com/blog/cycling-while-black-the-death-of-byron-williams"
"Caleb Rule",187.319012671312,"37","White","Male","https://fatalencounters.org/wp-content/uploads/2020/05/Caleb-Rule.jpg","2020-05-29","Fort Bend County Sheriff's Office","Gunshot","A Fort Bend County Sheriff's Office deputy accidentally shot and killed Constable's Office Precinct 4 Deputy Caleb Rule during the end of a property investigation. Both agencies were investigating a call reporting suspicious activity at a residence. A suspicious person reportedly had jumped into a backyard and then moments later a light turned on inside a vacant home. Three deputies and Rule arrived about 1:45 a.m. to check the property. The deputies noticed a back door was open and entered the residence. As the officers were in the process of clearing the home, a sheriff's deputy discharged his weapon, believing a thief was inside the house. The presumed suspect, however, was actually Rule.","Charged with negligent homicide","Charged with a crime","No","Allegedly Armed","gun","other","","No",77459,"Missouri City","TX",29.564347,-95.54762,"https://www.chron.com/neighborhood/fortbend/article/Fort-Bend-lawman-fatally-shot-in-friendly-fire-15302908.php"
"Calvin Peters",2.30258509299405,"49","Black","Male","","2014-12-09","New York Police Department","Gunshot","Man attacked student with knife. At first put knife down when confronted by police, but then picked it back up and charged at police.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","knife","","","",11213,"Brooklyn","NY",40.670937,-73.93459,"http://www.nydailynews.com/new-york/nyc-crime/student-stabbed-chabad-lubavitch-crown-heights-article-1.2038761"
"Calvin Smith",7.56164174558878,"22","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Calvin.png","2016-02-13","Baton Rouge Police Department","Gunshot","Officers were responding to a report that someone was damaging property when a suspect jumped into a vehicle and drove off. He led police on a 2-mile chase before bailing out of the car with a rifle. He fired at the two officers, striking both of them before he was shot and killed.","Justified by District Attorney","No known charges","Yes","Allegedly Armed","gun","attack","Car","Yes",70806,"Baton Rouge","LA",30.44495,-91.13806,"http://www.times-standard.com/general-news/20160213/the-latest-baton-rouge-police-say-2-officers-suspect-shot"
"Cameron Ayers",14.886144408291,"25","White","Male","https://www.facebook.com/cameron.ayers.756","2016-09-03","East Wenatchee Police Department","Gunshot","Police were trying to arrest Ayers when he was shot and killed. Few details have been disclosed by police as to why he was shot.","Pending investigation/No Known Charges","No known charges","No","Unclear","undetermined","undetermined","Not fleeing","No",98802,"East Wenatchee","WA",47.436898,-120.25742,"http://komonews.com/news/local/east-wenatchee-officer-shoots-kills-man"
"Cameron Ely",7.06646697013696,"30","White","Male","","2019-10-15","Santa Barbara County Sheriff's Office","Gunshot","Police received a call for help after 10 p.m. When they arrived, deputies located an elderly woman who had been stabbed to death. The suspect was Cameron Ely, and the victim was Valerie Lundeen Ely, 62. Cameron was found in the same home as the victim. When deputies approached him, he allegedly threatened them with a weapon and was shot and killed.","Pending investigation/No Known Charges","No known charges","No","Unclear","undetermined","other","","No",93110,"Santa Barbara","CA",34.439579,-119.76788,"https://www.hollywoodreporter.com/news/homicide-suspect-killed-by-deputies-home-tarzan-actor-ron-ely-1248119"
"Cameron Hall",7.05617528410041,"27","Black","Male","","2018-03-15","Casa Grande Police Department","Gunshot, Taser","Officers were dispatched to a home around 10 p.m. Cameron Hall allegedly confronted and assaulted an officer. The officer tried to defend himself by using a Taser on Hall, but it was ineffective. Police said Hall struck the officer, and the officer shot and killed Hall.","Pending investigation/No Known Charges","No known charges","No","Unclear","undetermined","attack","Not fleeing","No",NA,"","",32.9068,-111.7624,"https://www.abc15.com/news/region-central-southern-az/casa-grande/casa-grande-police-involved-in-shooting"
